id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1032,TBK0120,Kughe,-,Pohon Tua,icon/mature_tree.svg,Not Defined,70,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.2996341,101.031335,351.2328865,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,41061.38827,-,-,media/1.1032.jpg,media/2.1032.jpg,media/3.1032.jpg,media/4.1032.jpg,adopsipohonriau/1032
1033,TBK0121,Bumbuang,Pertusadina sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,95,30,Hutan Adat Imbo Bukik Kojan,-,-,-0.2995694,101.0311893,351.1949264,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,13353.62997,-,-,media/1.1033.jpg,media/2.1033.jpg,media/3.1033.jpg,media/4.1033.jpg,adopsipohonriau/1033
1034,TBK0122,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,82,30,Hutan Adat Imbo Bukik Kojan,-,-,-0.2995045,101.0312783,353.1132077,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,12803.34445,-,-,media/1.1034.jpg,media/2.1034.jpg,media/3.1034.jpg,media/4.1034.jpg,adopsipohonriau/1034
1035,TBK0123,Bumbuang,Pertusadina sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,76,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.2995348,101.0310654,352.0346538,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,54711.33396,-,-,media/1.1035.jpg,media/2.1035.jpg,media/3.1035.jpg,media/4.1035.jpg,adopsipohonriau/1035
1036,TBK0124,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,60,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.2998204,101.0309212,354.4638554,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,8146.583195,-,-,media/1.1036.jpg,media/2.1036.jpg,media/3.1036.jpg,media/4.1036.jpg,adopsipohonriau/1036
1037,TBK0125,Lalan,Santiria laevigata,Pohon Tua,icon/mature_tree.svg,Least Concern,66,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.2995516,101.0308255,353.3084839,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,7723.580007,-,-,media/1.1037.jpg,media/2.1037.jpg,media/3.1037.jpg,media/4.1037.jpg,adopsipohonriau/1037
1038,TBK0126,Lalan,Santiria laevigata,Pohon Tua,icon/mature_tree.svg,Least Concern,70,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.300061,101.0313934,433.2920731,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,12972.34418,-,-,media/1.1038.jpg,media/2.1038.jpg,media/3.1038.jpg,media/4.1038.jpg,adopsipohonriau/1038
1039,TBK0127,Lalan,Santiria laevigata,Pohon Tua,icon/mature_tree.svg,Least Concern,105,30,Hutan Adat Imbo Bukik Kojan,-,-,-0.300202,101.0312987,432.3803685,2,Belum,Belum,Belum,Samsami,5/1/2021 0:00,200000,3584.26233,-,-,media/1.1039.jpg,media/2.1039.jpg,media/3.1039.jpg,media/4.1039.jpg,adopsipohonriau/1039
1040,TBK0128,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,73,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.300072,101.0313577,431.1909573,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,7031.454285,-,-,media/1.1040.jpg,media/2.1040.jpg,media/3.1040.jpg,media/4.1040.jpg,adopsipohonriau/1040
1041,TBK0129,Kasai,Pometia pinnata,Pohon Tua,icon/mature_tree.svg,Least Concern,66,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.3003832,101.0313927,432.024553,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,18194.92997,-,-,media/1.1041.jpg,media/2.1041.jpg,media/3.1041.jpg,media/4.1041.jpg,adopsipohonriau/1041
1042,TBK0130,Kasai,Pometia pinnata,Pohon Tua,icon/mature_tree.svg,Least Concern,70,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3000503,101.0311464,433.1874744,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,39930.29919,-,-,media/1.1042.jpg,media/2.1042.jpg,media/3.1042.jpg,media/4.1042.jpg,adopsipohonriau/1042
1043,TBK0131,Kasai,Pometia pinnata,Pohon Tua,icon/mature_tree.svg,Least Concern,92,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3003119,101.0313693,435.2762536,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,15890.88469,-,-,media/1.1043.jpg,media/2.1043.jpg,media/3.1043.jpg,media/4.1043.jpg,adopsipohonriau/1043
1044,TBK0132,Kundi,-,Pohon Tua,icon/mature_tree.svg,Not Defined,82,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.3002739,101.0310608,431.8099654,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,7850.947767,-,-,media/1.1044.jpg,media/2.1044.jpg,media/3.1044.jpg,media/4.1044.jpg,adopsipohonriau/1044
1045,TBK0133,Modang Kaladi,Litsea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,127,50,Hutan Adat Imbo Bukik Kojan,-,-,-0.3003751,101.0313911,432.6088602,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,23386.72572,-,-,media/1.1045.jpg,media/2.1045.jpg,media/3.1045.jpg,media/4.1045.jpg,adopsipohonriau/1045
1046,TBK0134,Kundi,-,Pohon Tua,icon/mature_tree.svg,Not Defined,85,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3003903,101.0316627,430.4052384,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,7254.089103,-,-,media/1.1046.jpg,media/2.1046.jpg,media/3.1046.jpg,media/4.1046.jpg,adopsipohonriau/1046
1047,TBK0135,Konji Labu,Dialium sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,63,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.300389,101.0315331,425.0559741,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,9320.248466,-,-,media/1.1047.jpg,media/2.1047.jpg,media/3.1047.jpg,media/4.1047.jpg,adopsipohonriau/1047
1048,TBK0136,Konji Labu,Dialium sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,92,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3004573,101.0314306,425.7843172,2,Belum,Belum,Belum,Aban,5/1/2021 0:00,200000,35529.6801,-,-,media/1.1048.jpg,media/2.1048.jpg,media/3.1048.jpg,media/4.1048.jpg,adopsipohonriau/1048
1049,TBK0137,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,63,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3004426,101.0315319,424.6571493,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,8400.904614,-,-,media/1.1049.jpg,media/2.1049.jpg,media/3.1049.jpg,media/4.1049.jpg,adopsipohonriau/1049
1050,TBK0138,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,95,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3007331,101.0314728,425.0114673,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,13384.16066,-,-,media/1.1050.jpg,media/2.1050.jpg,media/3.1050.jpg,media/4.1050.jpg,adopsipohonriau/1050
1051,TBK0139,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,60,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3010119,101.0317876,425.4074401,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,15990.86797,-,-,media/1.1051.jpg,media/2.1051.jpg,media/3.1051.jpg,media/4.1051.jpg,adopsipohonriau/1051
1052,TBK0140,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,117,45,Hutan Adat Imbo Bukik Kojan,-,-,-0.300925,101.0315,424.3748547,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,39804.26351,-,-,media/1.1052.jpg,media/2.1052.jpg,media/3.1052.jpg,media/4.1052.jpg,adopsipohonriau/1052
1053,TBK0141,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,79,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3012291,101.031684,425.4856826,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,9186.725913,-,-,media/1.1053.jpg,media/2.1053.jpg,media/3.1053.jpg,media/4.1053.jpg,adopsipohonriau/1053
1054,TBK0142,Mpudu,Artocarpus sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,111,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.3013374,101.031932,424.1857336,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,11660.29892,-,-,media/1.1054.jpg,media/2.1054.jpg,media/3.1054.jpg,media/4.1054.jpg,adopsipohonriau/1054
1055,TBK0143,Cang Kawang,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,92,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3012924,101.0318695,425.0267645,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,16343.46446,-,-,media/1.1055.jpg,media/2.1055.jpg,media/3.1055.jpg,media/4.1055.jpg,adopsipohonriau/1055
1056,TBK0144,Bumbuang,Pertusadina sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,85,15,Hutan Adat Imbo Bukik Kojan,-,-,-0.3012375,101.032204,422.0222285,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,48265.92881,-,-,media/1.1056.jpg,media/2.1056.jpg,media/3.1056.jpg,media/4.1056.jpg,adopsipohonriau/1056
